,Unnamed: 0,Rank,Name,OVR,PAC,SHO,PAS,DRI,DEF,PHY,Acceleration,Sprint Speed,Positioning,Finishing,Shot Power,Long Shots,Volleys,Penalties,Vision,Crossing,Free Kick Accuracy,Short Passing,Long Passing,Curve,Dribbling,Agility,Balance,Reactions,Ball Control,Composure,Interceptions,Heading Accuracy,Def Awareness,Standing Tackle,Sliding Tackle,Jumping,Stamina,Strength,Aggression,Position,Weak foot,Skill moves,Preferred foot,Height,Weight,Alternative positions,Age,Nation,League,Team,play style,url,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes
9275,9275,10108,Miguel Carvalho,65,70,63,58,67,32,61,33,30,4,8,44,9,9,14,26,14,12,29,15,13,6,25,44,56,19,35,13,13,5,11,11,55,24,59,25,GK,2,1,Right,"185cm / 6'1""",78kg / 172lb,,28,Portugal,Liga Portugal,Farense,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/miguel-carvalho/257334,70.0,63.0,58.0,61.0,67.0
9281,9281,10108,Julian Faye Lund,65,66,64,65,68,45,64,44,47,14,14,49,14,19,20,52,18,14,38,38,16,18,42,46,56,26,44,21,15,18,15,17,63,30,68,28,GK,2,1,Right,"186cm / 6'1""",80kg / 176lb,,25,Norway,Eliteserien,FK Bodø/Glimt,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/julian-faye-lund/230787,66.0,64.0,65.0,64.0,68.0
9287,9287,10108,Niki Mäenpää,65,65,65,60,61,36,64,33,40,15,12,45,14,12,14,35,16,13,31,20,12,17,55,30,65,16,39,16,12,15,9,12,57,38,62,32,GK,3,1,Right,"191cm / 6'3""",86kg / 190lb,,39,Finland,Finnliiga,HJK Helsinki,Cross Claimer,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/niki-maenpaa/135587,65.0,65.0,60.0,64.0,61.0
9310,9310,10108,Luis Miguel Marquines,65,67,62,58,67,35,59,35,36,5,7,44,6,9,12,28,32,13,28,20,15,9,34,33,66,18,23,15,13,8,15,12,57,43,60,33,GK,2,1,Left,"187cm / 6'2""",83kg / 183lb,,21,Colombia,Liga Colombia,Atl. Nacional,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/luis-miguel-marquines/264588,67.0,62.0,58.0,59.0,67.0
9311,9311,10108,Unai Marrero,65,67,65,59,68,22,65,21,24,7,5,44,9,6,15,42,10,10,21,16,12,8,21,38,51,16,40,9,10,5,10,10,50,24,59,16,GK,3,1,Right,"189cm / 6'2""",82kg / 181lb,,22,Spain,LALIGA EA SPORTS,Real Sociedad,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/unai-marrero/265520,67.0,65.0,59.0,65.0,68.0
9312,9312,10108,Kevin Martin,65,63,63,62,67,46,61,48,44,13,8,47,9,10,23,28,9,14,19,19,13,9,37,52,66,20,25,22,8,18,9,9,57,28,56,23,GK,2,1,Left,"180cm / 5'11""",79kg / 174lb,,29,Switzerland,CSSL,Yverdon Sport FC,1v1 Close Down,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/kevin-martin/220588,63.0,63.0,62.0,61.0,67.0
9317,9317,10108,Kristjan Matošević,65,64,62,65,67,34,66,35,33,16,10,49,19,18,12,38,13,14,15,17,13,18,37,27,58,14,27,11,12,15,13,11,55,28,59,29,GK,2,1,Right,"196cm / 6'5""",80kg / 176lb,,27,Croatia,Serie BKT,SS Juve Stabia,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/kristjan-matosevic/231915,64.0,62.0,65.0,66.0,67.0
9327,9327,10108,Robby McCrorie,65,64,65,63,65,32,66,34,30,7,9,47,6,5,20,38,24,24,20,21,22,16,31,57,58,22,38,9,10,10,12,13,56,33,61,35,GK,3,1,Right,"189cm / 6'2""",80kg / 176lb,,26,Scotland,Scottish Prem,Kilmarnock,"Cross Claimer, Footwork",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/robby-mc-crorie/234228,64.0,65.0,63.0,66.0,65.0
9328,9328,10108,Sean McDermott,65,66,64,61,66,40,64,39,42,12,11,46,10,12,21,43,17,19,28,38,16,13,48,43,62,19,43,15,15,14,14,13,57,30,58,36,GK,2,1,Right,"185cm / 6'1""",83kg / 183lb,,31,Republic of Ireland,Eliteserien,Molde FK,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/sean-mc-dermott/202810,66.0,64.0,61.0,64.0,66.0
9332,9332,10108,Ed McGinty,65,66,63,59,66,51,65,52,50,9,10,44,9,8,21,61,15,9,28,25,13,19,44,52,60,29,44,14,9,13,15,14,60,39,58,24,GK,2,1,Left,"194cm / 6'4""",83kg / 183lb,,25,Republic of Ireland,SSE Airtricity PD,Sligo Rovers,1v1 Close Down,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/ed-mc-ginty/237927,66.0,63.0,59.0,65.0,66.0
9338,9338,10108,Jakob Meierhofer,65,64,62,65,65,27,63,31,20,6,6,49,7,7,11,32,12,9,21,30,12,9,33,33,64,11,31,6,9,7,11,9,45,22,46,19,GK,3,1,Right,"187cm / 6'2""",77kg / 170lb,,26,Austria,Ö. Bundesliga,Grazer AK,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/jakob-meierhofer/72534,64.0,62.0,65.0,63.0,65.0
9347,9347,10108,Tyler Miller,65,64,64,64,64,35,66,35,35,6,15,48,18,16,15,42,11,13,21,28,10,20,33,40,64,22,52,14,12,24,14,13,54,30,55,26,GK,2,1,Right,"193cm / 6'4""",88kg / 194lb,,31,United States,MLS,D.C. United,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/tyler-miller/231878,64.0,64.0,64.0,66.0,64.0
9357,9357,10108,Simon Moore,65,66,64,68,66,47,62,48,45,13,13,51,19,14,11,52,14,12,45,52,14,14,54,39,57,34,49,23,20,15,13,18,61,36,57,34,GK,3,1,Right,"191cm / 6'3""",83kg / 183lb,,34,England,EFL Championship,Sunderland,Far Throw,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/simon-moore/194150,66.0,64.0,68.0,62.0,66.0
9373,9373,10108,Saidt Mustafá,65,65,64,62,63,26,66,28,23,7,8,47,5,9,11,22,14,10,18,16,11,10,32,37,62,25,31,12,10,5,12,11,48,16,52,22,GK,3,1,Right,"187cm / 6'2""",75kg / 165lb,,34,Bolivia,Sudamericana,Nacional Potosí,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/saidt-mustafa/248860,65.0,64.0,62.0,66.0,63.0
9382,9382,10108,Ruslan Neshcheret,65,65,62,66,66,27,64,29,24,7,9,50,6,9,13,43,10,12,51,55,10,11,29,28,61,16,40,13,14,8,14,11,57,26,65,27,GK,3,1,Right,"190cm / 6'3""",81kg / 179lb,,22,Ukraine,Ukrayina Liha,Dynamo Kyiv,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/ruslan-neshcheret/252789,65.0,62.0,66.0,64.0,66.0
9384,9384,10108,Babacar Niasse,65,73,64,59,68,29,55,24,36,4,8,44,9,8,17,34,10,12,27,22,11,13,37,26,58,11,31,6,10,11,14,10,39,27,38,18,GK,3,1,Right,"196cm / 6'5""",77kg / 170lb,,27,Mauritania,Ligue 2 BKT,En Avant Guingamp,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/babacar-niasse/234049,73.0,64.0,59.0,55.0,68.0
9389,9389,10108,Đorđe Nikolić,65,65,66,63,67,28,62,24,34,5,8,47,6,6,15,51,11,12,13,13,14,12,35,27,53,18,54,7,16,6,12,11,60,31,72,29,GK,5,1,Right,"195cm / 6'5""",91kg / 201lb,,27,Serbia,Trendyol Süper Lig,Sivasspor,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/or-e-nikolic/234669,65.0,66.0,63.0,62.0,67.0
9392,9392,10108,André Gomes,65,66,62,61,67,41,64,46,34,7,12,46,10,9,21,51,23,11,32,37,19,23,51,43,62,21,34,12,11,10,12,13,56,21,44,24,GK,5,1,Left,"182cm / 6'0""",80kg / 176lb,,19,Portugal,Liga Portugal,SL Benfica,Cross Claimer,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/andre-gomes/273998,66.0,62.0,61.0,64.0,67.0
9407,9407,10108,Rodrigo Odriozola,65,64,64,65,65,47,67,45,49,18,18,49,18,13,29,17,16,13,28,18,14,17,36,37,52,19,21,24,15,18,11,16,62,22,64,18,GK,2,1,Right,"185cm / 6'1""",84kg / 185lb,,36,Uruguay,Sudamericana,Racing Club,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/rodrigo-odriozola/226751,64.0,64.0,65.0,67.0,65.0
9438,9438,10108,James Pantemis,65,65,63,54,66,36,65,38,32,4,6,41,9,5,10,40,14,10,29,28,13,11,27,33,60,17,39,12,13,8,12,14,58,30,60,23,GK,1,1,Left,"188cm / 6'2""",77kg / 170lb,,27,Canada,MLS,Portland Timbers,1v1 Close Down,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/james-pantemis/238919,65.0,63.0,54.0,65.0,66.0
9439,9439,10108,Eduard Pap,65,68,65,59,68,35,62,39,28,7,12,44,13,11,17,46,14,14,25,22,12,11,31,36,55,13,32,6,10,5,11,11,44,26,40,40,GK,2,1,Right,"182cm / 6'0""",82kg / 181lb,,30,Romania,SUPERLIGA,FC Botoșani,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/eduard-pap/248000,68.0,65.0,59.0,62.0,68.0
9452,9452,10108,Mike Penders,65,67,64,63,68,20,64,17,25,7,8,47,9,9,15,38,12,12,24,25,13,11,36,27,50,17,31,9,12,9,10,14,57,26,73,27,GK,2,1,Left,"200cm / 6'7""",95kg / 209lb,,19,Belgium,1A Pro League,KRC Genk,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/mike-penders/270821,67.0,64.0,63.0,64.0,68.0
9454,9454,10108,Gabriel Pereira,65,64,66,64,67,27,66,31,22,3,8,48,12,10,18,39,15,9,28,27,13,10,23,23,55,12,24,9,10,8,12,11,56,26,65,28,GK,3,1,Right,"195cm / 6'5""",80kg / 176lb,,22,Brazil,Liga Cyprus,APOEL FC,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/gabriel-pereira/258480,64.0,66.0,64.0,66.0,67.0
9462,9462,10108,Luca Philipp,65,63,62,59,67,26,67,24,29,7,4,44,6,15,13,34,9,10,26,22,11,9,29,24,58,10,31,10,12,6,13,11,47,20,50,20,GK,2,1,Right,"192cm / 6'4""",83kg / 183lb,,23,Germany,Bundesliga,TSG Hoffenheim,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/luca-philipp/257638,63.0,62.0,59.0,67.0,67.0
9469,9469,10108,Kenan Pirić,65,66,64,68,68,32,60,33,30,5,9,51,10,9,19,37,15,14,23,40,14,11,54,40,57,13,44,10,17,9,14,13,45,38,43,32,GK,2,1,Right,"192cm / 6'4""",89kg / 196lb,,30,Bosnia and Herzegovina,Trendyol Süper Lig,Antalyaspor,Far Throw,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/kenan-piric/266358,66.0,64.0,68.0,60.0,68.0
9471,9471,10108,Luca Plogmann,65,66,63,62,67,40,60,38,42,10,10,47,13,14,21,29,12,15,26,26,12,11,46,46,62,24,43,10,13,18,10,13,59,24,64,29,GK,3,1,Left,"188cm / 6'2""",78kg / 172lb,,24,Germany,Eredivisie,Go Ahead Eagles,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/luca-plogmann/240123,66.0,63.0,62.0,60.0,67.0
9480,9480,10108,Jerónimo Pourtau,65,68,65,59,69,17,64,17,17,6,6,44,5,7,15,36,12,10,22,27,13,6,33,43,51,10,37,14,12,14,12,13,43,27,49,28,GK,3,1,Right,"193cm / 6'4""",91kg / 201lb,,24,Argentina,Primera División,Sarmiento,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/jeronimo-pourtau/237575,68.0,65.0,59.0,64.0,69.0
9493,9493,10108,Jonathan Rasheed,65,65,64,63,64,33,66,34,32,14,14,47,14,14,19,55,15,16,28,26,14,15,38,43,62,19,40,21,16,21,14,16,66,30,77,19,GK,2,1,Right,"191cm / 6'3""",88kg / 194lb,,32,Norway,Allsvenskan,IFK Värnamo,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/jonathan-rasheed/222471,65.0,64.0,63.0,66.0,64.0
9497,9497,10108,Nikolai Rehnen,65,68,60,60,69,35,64,33,39,5,19,45,14,12,16,31,17,18,26,21,18,11,38,40,54,21,24,19,9,17,9,8,54,23,59,19,GK,3,1,Right,"191cm / 6'3""",82kg / 181lb,,27,Germany,3. Liga,SV Sandhausen,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/nikolai-rehnen/229067,68.0,60.0,60.0,64.0,69.0
9500,9500,10108,David Richter,65,67,62,63,68,19,69,17,22,8,9,47,7,8,18,23,11,13,29,26,10,12,31,27,44,23,22,13,14,9,10,13,52,18,62,27,GK,3,1,Right,"196cm / 6'5""",90kg / 198lb,,25,Germany,3. Liga,VfL Osnabrück,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/david-richter/276331,67.0,62.0,63.0,69.0,68.0
9506,9506,10108,Connor Ripley,65,65,65,62,68,27,64,26,28,12,11,47,20,14,14,45,11,11,33,28,13,11,24,38,57,23,33,19,14,14,12,15,64,21,80,16,GK,3,1,Right,"191cm / 6'3""",96kg / 212lb,,31,England,EFL League Two,Port Vale,"Deflector, Far Throw, Long Ball Pass",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/connor-ripley/202770,65.0,65.0,62.0,64.0,68.0
9520,9520,10108,Martín Rodríguez,65,69,60,70,65,21,69,18,26,5,5,53,6,9,19,36,14,12,24,21,12,7,29,25,51,18,24,7,14,7,12,12,50,18,56,19,GK,2,1,Right,"191cm / 6'3""",85kg / 187lb,,34,Uruguay,Sudamericana,Guaraní,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/martin-rodriguez/262286,69.0,60.0,70.0,69.0,65.0
9528,9528,10108,Tim Rönning,65,64,65,66,65,17,64,15,21,9,10,50,18,20,12,45,15,11,45,47,32,12,29,44,58,16,36,10,10,16,10,11,49,45,59,27,GK,3,1,Right,"201cm / 6'7""",88kg / 194lb,,25,Sweden,Allsvenskan,Halmstads BK,Cross Claimer,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/tim-ronning/242200,64.0,65.0,66.0,64.0,65.0
9549,9549,10108,Marcus Sandberg,65,64,66,62,65,28,63,27,30,13,15,47,12,14,14,53,11,12,36,38,10,16,28,37,64,23,52,22,11,16,16,15,56,33,67,39,GK,2,1,Right,"191cm / 6'3""",83kg / 183lb,,33,Sweden,Eliteserien,HamKam Fotball,"Cross Claimer, Deflector",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/marcus-sandberg/191153,64.0,66.0,62.0,63.0,65.0
9558,9558,10108,Mouhamadou Sarr,65,69,62,60,72,43,58,43,44,19,13,45,15,19,21,16,13,20,26,22,16,18,34,48,52,24,25,25,17,17,18,13,63,38,67,18,GK,2,1,Right,"190cm / 6'3""",77kg / 170lb,,27,Senegal,Serie BKT,Spezia,Cross Claimer,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/mouhamadou-sarr/227966,69.0,62.0,60.0,58.0,72.0
9570,9570,10108,Markus Schubert,65,67,63,62,67,39,60,45,30,4,8,47,9,8,12,52,12,13,45,30,14,23,44,45,66,30,35,16,10,13,11,10,65,27,56,23,GK,3,1,Right,"187cm / 6'2""",84kg / 185lb,,26,Germany,Bundesliga 2,SC Paderborn 07,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/markus-schubert/234383,67.0,63.0,62.0,60.0,67.0
9572,9572,10108,Ryan Scott,65,65,61,61,65,40,65,38,44,5,8,46,7,7,14,39,10,10,29,24,12,9,23,30,61,11,36,7,12,8,13,11,58,23,61,15,GK,2,1,Right,"184cm / 6'0""",85kg / 187lb,,28,Australia,A-League,Newcastle Jets,1v1 Close Down,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/ryan-scott/254906,65.0,61.0,61.0,65.0,65.0
9578,9578,10108,Alen Sherri,65,66,61,61,68,34,63,33,35,10,10,46,11,9,15,29,16,12,29,30,15,12,42,31,59,18,49,8,13,8,14,14,59,28,68,34,GK,3,1,Right,"197cm / 6'6""",83kg / 183lb,,26,Albania,Serie A Enilive,Cagliari,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/alen-sherri/73838,66.0,61.0,61.0,63.0,68.0
9608,9608,10108,Luke Southwood,65,65,64,68,64,54,64,54,55,4,9,51,7,7,12,59,11,10,48,51,11,21,68,58,63,32,52,15,16,18,11,16,51,32,40,45,GK,3,1,Right,"185cm / 6'1""",72kg / 159lb,,26,Northern Ireland,EFL League One,Bolton,"1v1 Close Down, Far Reach, Long Ball Pass",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/luke-southwood/235027,65.0,64.0,68.0,64.0,64.0
9622,9622,10108,Rafał Strączek,65,68,64,64,68,24,65,24,25,5,6,48,7,8,18,39,14,12,28,18,10,5,31,50,51,18,45,12,13,5,14,12,48,27,53,33,GK,2,1,Right,"188cm / 6'2""",80kg / 176lb,,25,Poland,PKO BP Ekstraklasa,GKS Katowice,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/rafa-straczek/257669,68.0,64.0,64.0,65.0,68.0
9636,9636,10108,Sander Tangvik,65,65,64,63,66,57,65,56,58,14,12,47,12,13,18,55,16,16,30,35,15,17,49,46,54,25,41,15,12,15,15,15,61,26,55,23,GK,2,1,Right,"193cm / 6'4""",80kg / 176lb,,21,Norway,Eliteserien,Rosenborg BK,Cross Claimer,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/sander-tangvik/257568,65.0,64.0,63.0,65.0,66.0
9644,9644,10108,Rui Encarnação,65,66,60,57,68,27,63,24,31,4,9,43,8,9,10,42,11,11,25,28,10,10,32,43,66,19,30,13,11,9,13,10,44,25,45,22,GK,2,1,Right,"185cm / 6'1""",73kg / 161lb,,26,Portugal,Liga Portugal,Nacional,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/rui-encarnacao/258357,66.0,60.0,57.0,63.0,68.0
9654,9654,10108,Yannick Thoelen,65,64,66,63,61,38,66,36,42,5,11,47,12,13,20,40,14,17,26,33,16,12,43,33,59,19,36,13,13,10,20,19,58,27,61,27,GK,2,1,Right,"188cm / 6'2""",81kg / 179lb,,34,Belgium,1A Pro League,KV Mechelen,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/yannick-thoelen/188202,64.0,66.0,63.0,66.0,61.0
9672,9672,10108,Connal Trueman,65,66,64,60,68,46,63,47,44,12,15,45,17,12,26,37,18,20,41,46,16,21,39,65,56,29,33,23,23,29,22,24,50,35,40,29,GK,3,1,Right,"186cm / 6'1""",74kg / 163lb,,28,England,EFL Championship,Millwall,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/connal-trueman/225511,66.0,64.0,60.0,63.0,68.0
9683,9683,10108,Daniel Valdés,65,65,62,60,64,30,68,31,28,9,8,45,10,9,13,34,9,13,21,20,11,15,35,42,62,11,33,14,8,13,14,12,51,23,55,20,GK,2,1,Right,"180cm / 5'11""",77kg / 170lb,,39,Venezuela,Sudamericana,Rayo Zuliano,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/daniel-valdes/254584,65.0,62.0,60.0,68.0,64.0
9703,9703,10108,Lawrence Vigouroux,65,65,64,63,65,46,63,48,42,6,17,47,11,19,22,50,20,17,34,38,17,19,56,40,61,16,43,14,12,15,18,11,62,36,63,24,GK,2,1,Left,"194cm / 6'4""",77kg / 170lb,,30,Chile,EFL Championship,Swansea City,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/lawrence-vigouroux/213413,65.0,64.0,63.0,63.0,65.0
9714,9714,10108,Sam Walker,65,64,63,59,66,42,65,40,45,11,11,44,11,15,12,29,17,20,25,26,16,19,32,38,60,25,46,16,15,20,14,14,60,37,63,27,GK,2,1,Right,"198cm / 6'6""",85kg / 187lb,,32,England,EFL League Two,Bradford City,"1v1 Close Down, Cross Claimer",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/sam-walker/200525,64.0,63.0,59.0,65.0,66.0
9742,9742,10108,Wu Yake,65,67,62,60,62,44,69,45,42,17,17,45,13,14,19,42,14,12,25,17,14,13,44,53,58,24,57,21,18,17,18,13,63,20,65,19,GK,3,1,Right,"187cm / 6'2""",85kg / 187lb,,33,China PR,CSL,Changchun Yatai,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/wu-yake/221964,67.0,62.0,60.0,69.0,62.0
9748,9748,10108,Abdullah Yiğiter,65,66,64,61,67,20,63,17,24,4,7,46,6,7,18,42,11,11,24,28,14,5,32,38,55,10,43,6,12,22,13,14,39,16,44,24,GK,2,1,Right,"189cm / 6'2""",79kg / 174lb,,24,Turkey,Trendyol Süper Lig,Antalyaspor,Cross Claimer,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/abdullah-yigiter/237553,66.0,64.0,61.0,63.0,67.0
9777,9777,11203,Arda Akbulut,64,66,61,59,68,33,65,33,34,6,9,44,11,8,22,38,9,16,23,27,12,13,32,33,46,14,47,9,13,15,11,9,57,27,63,22,GK,3,1,Left,"195cm / 6'5""",82kg / 181lb,,23,Turkey,Trendyol Süper Lig,Trabzonspor,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/arda-akbulut/240809,66.0,61.0,59.0,65.0,68.0
9786,9786,11203,Gustavo Almada,64,62,64,61,63,21,64,21,22,6,6,46,5,9,18,26,13,13,29,23,10,10,34,48,60,19,38,9,12,7,14,14,50,17,58,25,GK,2,1,Right,"182cm / 6'0""",76kg / 168lb,,30,Paraguay,Sudamericana,Universitario,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/gustavo-almada/70216,62.0,64.0,61.0,64.0,63.0
9789,9789,11203,Ben Amos,64,63,65,67,62,46,62,47,45,14,13,50,15,13,11,58,14,11,40,45,13,14,49,50,58,23,55,23,15,17,11,12,62,28,62,28,GK,3,1,Right,"193cm / 6'4""",70kg / 154lb,,34,England,EFL League Two,Port Vale,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/ben-amos/173531,63.0,65.0,67.0,62.0,62.0
9792,9792,11203,Joseph Anang,64,64,62,64,63,33,64,34,32,6,6,48,7,9,15,63,13,12,27,19,12,13,31,50,57,10,37,12,11,12,12,10,53,25,55,30,GK,2,1,Right,"190cm / 6'3""",72kg / 159lb,,24,England,SSE Airtricity PD,St. Pats,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/joseph-anang/244191,64.0,62.0,64.0,64.0,63.0
9799,9799,11203,Jordan Archer,64,64,63,64,64,43,65,43,42,11,16,48,13,11,28,31,15,13,30,26,20,20,50,40,54,24,38,16,16,15,18,14,58,27,57,25,GK,2,1,Right,"191cm / 6'3""",80kg / 176lb,,31,Scotland,EFL Championship,Portsmouth,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/jordan-archer/205352,64.0,63.0,64.0,65.0,64.0
9805,9805,11203,Brandon Austin,64,69,63,55,62,41,64,36,49,4,9,41,9,6,11,32,12,11,19,18,12,14,42,38,51,17,45,6,13,21,12,12,52,18,54,27,GK,2,1,Right,"188cm / 6'2""",77kg / 170lb,,25,England,Premier League,Spurs,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/brandon-austin/236568,69.0,63.0,55.0,64.0,62.0
9811,9811,11203,Gali Balanta,64,64,67,61,65,40,61,41,38,18,12,46,10,11,18,33,19,20,34,37,14,14,33,32,57,18,28,18,20,13,22,20,70,39,79,21,GK,2,1,Right,"193cm / 6'4""",80kg / 176lb,,22,Colombia,Sudamericana,Deportes Tolima,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/gali-balanta/270666,64.0,67.0,61.0,61.0,65.0
9823,9823,11203,Jan-Christoph Bartels,64,66,63,61,68,38,65,36,40,5,9,46,6,5,11,22,12,12,27,18,10,8,22,32,45,17,37,11,11,7,11,14,54,17,58,28,GK,4,1,Right,"188cm / 6'2""",80kg / 176lb,,25,Germany,3. Liga,SV Waldhof,Cross Claimer,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/jan-christoph-bartels/245176,66.0,63.0,61.0,65.0,68.0
9833,9833,11203,Visar Bekaj,64,62,63,58,66,26,63,27,24,3,7,44,5,8,13,47,10,8,18,27,15,12,35,24,65,14,42,10,12,6,13,13,55,30,62,27,GK,3,1,Right,"191cm / 6'3""",82kg / 181lb,,27,Kosovo,Trendyol Süper Lig,Hatayspor,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/visar-bekaj/277559,62.0,63.0,58.0,63.0,66.0
9847,9847,11203,Quentin Beunardeau,64,64,61,60,66,51,62,53,48,7,19,45,14,19,31,27,15,18,36,38,15,16,50,60,62,26,30,15,10,10,15,14,59,27,55,29,GK,2,1,Right,"184cm / 6'0""",79kg / 174lb,,30,France,Ligue 2 BKT,Red Star FC,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/quentin-beunardeau/209830,64.0,61.0,60.0,62.0,66.0
9851,9851,11203,Nathan Bishop,64,65,62,60,65,39,63,38,40,10,10,45,11,13,21,51,18,17,44,49,14,20,59,55,62,30,60,22,19,21,17,16,59,36,60,31,GK,3,1,Right,"185cm / 6'1""",72kg / 159lb,,24,England,EFL League One,Wycombe,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/nathan-bishop/237188,65.0,62.0,60.0,63.0,65.0
9853,9853,11203,Marco Bleve,64,67,64,70,66,19,63,21,15,6,8,53,7,5,10,53,10,10,19,27,12,11,24,47,47,14,55,8,11,14,10,13,47,28,53,19,GK,3,1,Right,"184cm / 6'0""",84kg / 185lb,,28,Italy,Serie BKT,Carrarese Calcio,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/marco-bleve/239573,67.0,64.0,70.0,63.0,66.0
9869,9869,11203,Tim Boss,64,67,62,60,64,48,62,47,49,11,9,45,11,10,33,52,9,18,29,28,13,16,48,48,63,21,37,19,8,15,9,9,61,29,67,31,GK,3,1,Right,"186cm / 6'1""",79kg / 174lb,,31,Germany,Bundesliga 2,SV Elversberg,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/tim-boss/238489,67.0,62.0,60.0,62.0,64.0
9880,9880,11203,Leandro Brey,64,64,60,50,65,29,65,29,30,7,8,38,8,9,17,38,13,13,17,15,12,7,29,24,63,15,29,12,14,10,14,12,57,21,66,20,GK,2,1,Right,"191cm / 6'3""",89kg / 196lb,,21,Argentina,Sudamericana,Boca Juniors,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/leandro-brey/268619,64.0,60.0,50.0,65.0,65.0
9881,9881,11203,Sebastian Breza,64,63,64,50,68,33,62,33,34,8,10,38,7,7,21,32,11,12,27,25,14,12,24,23,55,18,23,12,22,14,11,13,65,34,73,37,GK,2,1,Right,"193cm / 6'4""",87kg / 192lb,,26,Canada,MLS,CF Montréal,Cross Claimer,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/sebastian-breza/261687,63.0,64.0,50.0,62.0,68.0
9946,9946,11203,Stefan Cleveland,64,64,62,62,66,55,64,55,54,13,9,47,20,16,23,51,22,15,44,42,19,12,33,27,60,27,40,11,15,12,12,25,65,40,62,27,GK,2,1,Left,"188cm / 6'2""",84kg / 185lb,,30,United States,MLS,Austin FC,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/stefan-cleveland/237250,64.0,62.0,62.0,64.0,66.0
